release_date;movie;production_budget;worldwide_gross
Jun 18 2014;Jersey Boys;40000000;65282732
May 2 2008;Made of Honor;40000000;106548738
Nov 21 1997;The Rainmaker;40000000;45916769
Feb 7 1992;Medicine Man;40000000;44948240
Dec 12 1997;Amistad;40000000;58250151
May 28 2014;A Million Ways to Die in The West;40000000;86778557
Aug 12 2011;Final Destination 5;40000000;155011165
Nov 9 2018;Widows;40000000;75984700
Apr 8 2005;Fever Pitch;40000000;50071069
Dec 25 2007;Aliens vs. Predator - Requiem;40000000;128884494
Dec 25 2007;The Water Horse: Legend of the Deep;40000000;103429755
Jul 16 2014;Sex Tape;40000000;126069509
Apr 15 2011;Scream 4;40000000;95989590
Dec 21 1994;Ri¢hie Ri¢h;40000000;38087756
Aug 11 2000;Autumn in New York;40000000;90717684
Mar 18 2011;Paul;40000000;101162106
Dec 19 2012;The Guilt Trip;40000000;41294674
Aug 26 2011;Colombiana;40000000;72295262
Feb 26 1999;8MM;40000000;96398826
Jan 11 2018;The Commuter;40000000;118509836
Feb 18 2000;Hanging Up;40000000;51867723
Mar 1 1991;The Doors;40000000;34420595
Aug 20 1999;Mickey Blue Eyes;40000000;53864342
Aug 1 2018;The Spy Who Dumped Me;40000000;77109957
Oct 20 2000;Pay it Forward;40000000;55696705
Apr 8 2011;Arthur;40000000;47787943
Mar 21 2008;Drillbit Taylor;40000000;49686263
Dec 21 2016;Patriots Day;40000000;52837989
Dec 25 2011;Extremely Loud and Incredibly Close	 40000000	 31847881	 55247881
Jul 1 1994;The Shadow;40000000;31835600
Nov 26 2008;Transporter 3;40000000;112930957
Nov 10 2010;Morning Glory;40000000;59795070
Nov 9 2005;Get Rich or Die Tryin;40000000;46666955
May 1 2019;Long Shot;40000000;53624424
Aug 25 2000;The Art of War;40000000;30199105
Dec 25 2013;Grudge Match;40000000;69817991
Aug 11 2000;Bless the Child;40000000;40435694
Nov 23 2005;Rent;40000000;31670620
Apr 2 1999;The Out-of-Towners;40000000;28544120
Aug 11 2017;The Nut Job 2: Nutty by Nature;40000000;57438389
Aug 23 1996;The Island of Dr. Moreau;40000000;27682712
Sep 7 2001;The Musketeer;40000000;27053815
Dec 23 2016;Resident Evil: The Final Chapter;40000000;314101190
Feb 29 2008;The Other Boleyn Girl;40000000;78269970
Jun 30 2017;The House;40000000;31192425
Feb 16 2001;Sweet November;40000000;65754228
Apr 5 2007;The Reaping;40000000;62226214
Jan 7 2011;Season of the Witch;40000000;91126600
Jun 3 1994;Renaissance Man;40000000;24172899
May 15 1998;Quest for Camelot;40000000;38172500
Sep 6 2002;City by the Sea;40000000;22505932
Jan 15 1999;At First Sight;40000000;22365133
Aug 25 2016;Mechanic: Resurrection;40000000;125729635
Jan 16 2004;Torque;40000000;46176322
Oct 23 2009;Fantastic Mr. Fox;40000000;47018717
Aug 24 2018;The Happytime Murders;40000000;27506412
Jan 6 1995;Showgirls;40000000;37750754
Feb 16 1996;City Hall;40000000;20278055
Feb 3 2012;Big Miracle;40000000;25268680
Oct 11 2012;The Impossible;40000000;169590606
Mar 9 2012;A Thousand Words;40000000;20790486
Jul 28 2017;Detroit;40000000;26033563
Oct 20 2006;Marie Antoinette;40000000;60862471
Oct 19 2018;Hunter Killer;40000000;29325209
Oct 6 2000;Get Carter;40000000;19417182
Apr 21 1995;Kiss of Death;40000000;14942422
Oct 20 2016;Keeping Up with the Joneses;40000000;28804426
Apr 26 2002;Life or Something Like It;40000000;14448589
May 15 1987;Ishtar;40000000;14375181
Feb 28 1992;Memoirs of an Invisible Man;40000000;14358033
Oct 23 2009;Amelia;40000000;19756077
Oct 23 2009;Cirque du Freak: The Vampire's Assistant;40000000;39753957
May 7 2004;New York Minute;40000000;21156715
Mar 12 1999;The Deep End of the Ocean;40000000;13508635
Nov 5 2004;Alfie;40000000;35195939
Aug 30 2002;FearDotCom;40000000;13289290
Nov 7 2008;Soul Men;40000000;12345883
Feb 19 2015;The Gunman;40000000;18594227
Aug 20 1999;Universal Soldier II: The Return;40000000;10717421
Sep 25 2009;Pandorum;40000000;17033431
Sep 26 2003;Duplex;40000000;10070651
Aug 16 2013;Paranoia;40000000;16340767
Aug 1 1980;Raise the Titanic;40000000;7000000
Jul 9 2015;Baahubali: The Beginning;40000000;26736665
Mar 2 2018;The Hurricane Heist;40000000;30963684
Jan 4 2002;Impostor;40000000;7974607
Nov 25 2015;Victor Frankenstein;40000000;31124367
Sep 12 2019;The Goldfinch;40000000;9430149
Nov 27 2002;Extreme Ops;40000000;12624471
Apr 6 2001;Just Visiting;40000000;16172200
Aug 1 2013;Snowpiercer;40000000;86808205
Apr 12 2007;Sunshine;40000000;32030610
Mar 11 1994;The Hudsucker Proxy;40000000;14938149
Nov 9 2016;Billy Lynn’s Long Halftime Walk;40000000;30230402
Jul 1 1986;Pirates;40000000;6341825
Dec 12 2008;Delgo;40000000;915840
Sep 7 2007;The Hunting Party;40000000;7729552
Oct 13 2006;Alex Rider: Operation Stormbreaker;40000000;20722450
Nov 20 2009;Red Cliff;40000000;119627047
Sep 24 2004;The Last Shot;40000000;463730
